"Sample_Name","Hill0","Hill1","Hill2","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run"
"3C_E_3",24,3.24932091936075,2.204145595497,"Cellulose",3,"3C","E",3,"run2"
"3C_E_4",34,4.29195251905179,2.60458840010993,"Cellulose",3,"3C","E",4,"run2"
"3C_E_5",44,5.12407219861994,3.27636218716065,"Cellulose",3,"3C","E",5,"run2"
"3C_E_6",15,5.41737513342811,3.66721681585073,"Cellulose",3,"3C","E",6,"run1"
"3C_E_7",14,4.82898909450833,3.279914376498,"Cellulose",3,"3C","E",7,"run1"
"3G_A_1",20,2.1043842225993,1.89945098947031,"Glucose",3,"3G","A",1,"run2"
"3G_A_2",21,1.83377371837716,1.48148302138208,"Glucose",3,"3G","A",2,"run2"
"3G_A_3",17,2.15795022249877,1.84963650947297,"Glucose",3,"3G","A",3,"run2"
"3G_A_4",24,1.89807398916923,1.51675322666321,"Glucose",3,"3G","A",4,"run2"
"3G_A_5",20,1.76459513564999,1.45225922559227,"Glucose",3,"3G","A",5,"run2"
"3G_A_6",32,2.08636393771921,1.72214914514718,"Glucose",3,"3G","A",6,"run2"
"3G_A_7",13,1.93211150167972,1.52776672557198,"Glucose",3,"3G","A",7,"run2"
"3G_B_1",25,2.06697881065423,1.80965394998557,"Glucose",3,"3G","B",1,"run2"
"3G_B_3",17,2.14688998655377,1.85823117989218,"Glucose",3,"3G","B",3,"run2"
"3G_B_4",25,1.91564164194663,1.49248522449173,"Glucose",3,"3G","B",4,"run2"
"3G_B_5",18,1.80895822924056,1.413384637042,"Glucose",3,"3G","B",5,"run2"
"3G_B_6",15,2.45712646788428,1.79712495883899,"Glucose",3,"3G","B",6,"run2"
"3G_B_7",9,1.78155829256021,1.44320249394296,"Glucose",3,"3G","B",7,"run1"
"3G_C_2",18,1.96296609346219,1.61025129400686,"Glucose",3,"3G","C",2,"run2"
"3G_C_3",22,2.13683781997247,1.84170434939918,"Glucose",3,"3G","C",3,"run2"
"3G_C_4",20,2.19509652213358,1.68897776861119,"Glucose",3,"3G","C",4,"run2"
"3G_C_5",29,1.86644147915178,1.48067783996636,"Glucose",3,"3G","C",5,"run2"
"3G_C_6",31,2.10723854100993,1.72602642691546,"Glucose",3,"3G","C",6,"run2"
"3G_C_7",8,1.98575506046688,1.63664342690637,"Glucose",3,"3G","C",7,"run1"
"3G_D_1",20,2.20096767338803,1.97437287573034,"Glucose",3,"3G","D",1,"run2"
"3G_D_2",23,2.06540720335433,1.7260228470733,"Glucose",3,"3G","D",2,"run2"
"3G_D_3",21,2.16437419538305,1.91960033753947,"Glucose",3,"3G","D",3,"run2"
"3G_D_4",23,2.02232643027224,1.52060150827984,"Glucose",3,"3G","D",4,"run2"
"3G_D_5",25,1.87462912680224,1.48176293810972,"Glucose",3,"3G","D",5,"run2"
"3G_D_6",21,2.03961578119414,1.67473499344496,"Glucose",3,"3G","D",6,"run2"
"3G_D_7",8,1.84228686160511,1.54440759104647,"Glucose",3,"3G","D",7,"run1"
"3G_E_1",20,2.23460541718486,1.99085367322368,"Glucose",3,"3G","E",1,"run2"
"3G_E_2",29,2.17338136366682,1.81869629421741,"Glucose",3,"3G","E",2,"run2"
"3G_E_3",22,2.25605435996865,2.00568464570713,"Glucose",3,"3G","E",3,"run2"
"3G_E_4",25,2.02813375174654,1.48018065428647,"Glucose",3,"3G","E",4,"run2"
"3G_E_5",21,1.94680556939896,1.47200002475016,"Glucose",3,"3G","E",5,"run2"
"3G_E_6",28,2.14585380372106,1.73316470526493,"Glucose",3,"3G","E",6,"run2"
