"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","MDS1","MDS2","MDS3"
"3C_C_6","Cellulose","3","3C","C",6,"run2",-0.429693338414991,-0.290935566528481,0.259662031615973
"3C_D_1","Cellulose","3","3C","D",1,"run2",-0.961011331943711,-0.0211549941604526,0.460616825670213
"3C_D_2","Cellulose","3","3C","D",2,"run2",-1.05279192654037,0.0212925636781733,0.433691671039186
"3C_D_3","Cellulose","3","3C","D",3,"run2",-1.12334427380047,-0.156564988276492,0.547497542815355
"3C_D_4","Cellulose","3","3C","D",4,"run2",-0.602594193090817,-0.176878662161206,0.284110817307891
"3C_D_5","Cellulose","3","3C","D",5,"run2",-0.597225728687618,-0.250383469046115,0.245828480360296
"3C_D_6","Cellulose","3","3C","D",6,"run2",-0.37585204212621,-0.300298381197187,0.32342235008945
"3C_E_2","Cellulose","3","3C","E",2,"run2",-0.986951432538297,0.22931296031071,0.265421190047171
"3C_E_3","Cellulose","3","3C","E",3,"run2",-1.12775943199521,-0.010563790460716,0.514174678267202
"3C_E_4","Cellulose","3","3C","E",4,"run2",-0.858274111319855,-0.0288595243903576,0.353186266585638
"3C_E_5","Cellulose","3","3C","E",5,"run2",-0.759471847222102,-0.0966990345300965,0.373644676331948
"3G_A_1","Glucose","3","3G","A",1,"run2",1.05113371290258,-0.0256232762056923,0.0317566237261383
"3G_A_2","Glucose","3","3G","A",2,"run2",1.02539177259887,-0.0532060763218106,-0.280258986489721
"3G_A_3","Glucose","3","3G","A",3,"run2",1.03828490448877,-0.027761997639477,-0.0330173981631695
"3G_A_4","Glucose","3","3G","A",4,"run2",1.01711988364473,-0.0675146992655101,-0.265030813843051
"3G_A_5","Glucose","3","3G","A",5,"run2",1.02803216752885,-0.0575306761396656,-0.291826095871037
"3G_A_6","Glucose","3","3G","A",6,"run2",1.02245797189949,-0.0576536918577416,-0.120538819056696
"3G_A_7","Glucose","3","3G","A",7,"run2",0.983268850874239,-0.113584613971543,-0.266654277343212
"3G_B_1","Glucose","3","3G","B",1,"run2",1.04181938766182,-0.045057569640428,-0.040850325704953
"3G_B_3","Glucose","3","3G","B",3,"run2",1.03627355974031,-0.0284362911730308,-0.0210965929444533
"3G_B_4","Glucose","3","3G","B",4,"run2",1.00761662827883,-0.0534838725168783,-0.292130288804057
"3G_B_5","Glucose","3","3G","B",5,"run2",0.983222703950748,-0.0847790884137038,-0.343288759678629
"3G_B_6","Glucose","3","3G","B",6,"run2",0.882618446812321,-0.071943960209006,-0.185971726697855
"3G_C_2","Glucose","3","3G","C",2,"run2",1.00189545118601,-0.0804561825022067,-0.190733053224437
"3G_C_3","Glucose","3","3G","C",3,"run2",1.02985622775569,-0.0431757768057048,-0.0286045320761002
"3G_C_4","Glucose","3","3G","C",4,"run2",0.955450590911339,-0.126975816782623,-0.184005432544659
"3G_C_5","Glucose","3","3G","C",5,"run2",0.988935611550551,-0.0935688238048846,-0.289568061336156
"3G_C_6","Glucose","3","3G","C",6,"run2",1.02281756592008,-0.0628670801671221,-0.121195512701346
"3G_D_1","Glucose","3","3G","D",1,"run2",1.0391725723078,0.00198062785110012,0.0804269919609934
"3G_D_2","Glucose","3","3G","D",2,"run2",1.02545064914711,-0.0554154734530138,-0.115106685875127
"3G_D_3","Glucose","3","3G","D",3,"run2",1.04147631430429,-0.018064115053468,0.0324276550026287
"3G_D_4","Glucose","3","3G","D",4,"run2",0.969342801462567,-0.107079938746431,-0.296472569848519
"3G_D_5","Glucose","3","3G","D",5,"run2",0.990358648186595,-0.0967320152965019,-0.290656148401252
"3G_D_6","Glucose","3","3G","D",6,"run2",1.02238408007316,-0.0640129261733102,-0.152167635231547
"3G_E_1","Glucose","3","3G","E",1,"run2",1.01898471794794,0.00762342870334362,0.0901899883813146
"3G_E_2","Glucose","3","3G","E",2,"run2",1.01723805479314,-0.0457917311051467,-0.0578987514578286
"3G_E_3","Glucose","3","3G","E",3,"run2",1.04294828744389,0.00943520079443703,0.0936813833333805
"3G_E_4","Glucose","3","3G","E",4,"run2",0.934445037349975,-0.13036723786697,-0.340601617313295
"3G_E_5","Glucose","3","3G","E",5,"run2",0.959317367546621,-0.112108576479772,-0.324420295622922
"3G_E_6","Glucose","3","3G","E",6,"run2",1.0277051856414,-0.051199852150947,-0.131754592920796
"7C_A_3","Cellulose","7","7C","A",3,"run2",-1.29565076495361,-0.438069849286547,-0.173105194785958
"7C_A_4","Cellulose","7","7C","A",4,"run2",-1.2827024502625,-0.425816436925953,-0.0695107800837826
"7C_A_5","Cellulose","7","7C","A",5,"run2",-1.26753769472973,-0.459082714515977,-0.211840923789906
"7C_A_6","Cellulose","7","7C","A",6,"run2",-1.31638627147262,-0.457159505080504,-0.225047917450939
"7C_A_7","Cellulose","7","7C","A",7,"run2",-1.27766034532919,-0.485360681851168,-0.40008453864788
"7C_B_2","Cellulose","7","7C","B",2,"run2",-1.25241714966589,-0.51945417010944,-0.346542557593169
"7C_B_3","Cellulose","7","7C","B",3,"run2",-1.27932697430178,-0.535087577163581,-0.356059180644889
"7C_B_4","Cellulose","7","7C","B",4,"run2",-1.25089015354966,-0.544495405429609,-0.360293106114764
"7C_B_5","Cellulose","7","7C","B",5,"run2",-1.2347434421051,-0.605723268968372,-0.49017128095739
"7C_B_6","Cellulose","7","7C","B",6,"run2",-1.27146167540192,-0.586246550205798,-0.455003264930182
"7C_B_7","Cellulose","7","7C","B",7,"run2",-1.19542912193076,-0.628436064763279,-0.70248494467836
"7C_C_2","Cellulose","7","7C","C",2,"run2",-1.22256356192073,-0.499226034284959,-0.448168183148399
