,Pseudomonas.1,Asticcacaulis,Cellvibrio,Pseudomonas.2,Cohnella,Lacunisphaera,Taibaiella,Achromobacter,Leadbetterella,Bordetella,Shinella,Xylophilus,Methylophilus,Stenotrophomonas,Pleomorphomonas
5C_A_5,0.005930319,0.015567087,0.590066716,0.002718063,0.025945145,0.275265629,0.03286385,0,0.024462565,0,0.005436126,0.014084507,0.00074129,0,0
5C_A_6,0.006953498,0.018252934,0.844415472,0,0.009995654,0.061712299,0.040851804,0,0.007388092,0,0.005649718,0,0,0,0
5C_A_7,0.149027053,0.020882772,0.263407689,0.063597532,0.019458946,0.367821547,0.028476507,0,0.022781206,0,0.009492169,0.037494067,0,0,0
5C_B_2,0.002095338,0.040597171,0.614981666,0,0.014012572,0.262964903,0.025144054,0,0.019381875,0,0.005107386,0.01231011,0.000392876,0,0
5C_B_3,0.003079152,0.044557145,0.535591378,0.002716899,0.021191813,0.31715269,0.021191813,0,0.017569281,0,0.008331824,0.017569281,0.001630139,0,0
5C_B_4,0.00315742,0.01691475,0.746729815,0,0.01217862,0.171402797,0.032250789,0,0.00811908,0,0.00270636,0.00315742,0.00067659,0,0
5C_B_5,0.005782823,0.030413365,0.5982009,0,0.019918612,0.275005354,0.024630542,0,0.017776826,0,0.004069394,0.013493253,0.001285072,0,0
5C_B_6,0,0.027429103,0.689446769,0,0.012087401,0.190609019,0.071594607,0,0.006043701,0,0,0,0,0,0
5C_B_7,0.024301337,0.032806804,0.263669502,0,0.053057918,0.424463345,0.057108141,0,0.032401782,0,0.021061158,0.081409478,0,0,0
5C_C_1,0.013024602,0.278726483,0.576266281,0.003183792,0.006367583,0.06512301,0.010130246,0,0.020839363,0,0.006657019,0.01447178,0,0,0
5C_C_2,0.005716051,0.1452186,0.673258149,0.002008342,0.006797466,0.097481848,0.014212884,0.001081415,0.035532211,0,0.004634636,0.007724394,0,0,0
5C_C_3,0.008232527,0.119959677,0.61609543,0.001680108,0.014112903,0.15843414,0.015961022,0,0.035114247,0,0.006216398,0.016297043,0.001176075,0,0
5C_C_4,0.032023134,0.277498126,0.34390061,0.006640248,0.009210667,0.145764164,0.042304809,0.001499411,0.057191818,0,0.018849738,0.021205955,0.001285209,0,0
5C_C_5,0.039266691,0.10343119,0.423634337,0.019199802,0.015235972,0.2909699,0.029604856,0,0.031091292,0,0.009909575,0.022544283,0.000743218,0,0
5C_C_6,0.003874717,0.074588311,0.760736196,0,0.003228931,0.065224411,0.065547304,0,0.015175977,0,0.006780756,0,0,0,0
5C_C_7,0.06351626,0.174796748,0.325203252,0,0.017784553,0.197662602,0.041666667,0,0.050304878,0,0.023373984,0.038617886,0.00254065,0,0
5C_D_1,0.018033741,0.472949389,0.42408377,0,0,0.036649215,0.009307737,0.005235602,0.021524142,0,0,0,0.002908668,0,0
