"","Pseudomonas.1","Asticcacaulis","Cellvibrio","Pseudomonas.2","Cohnella","Lacunisphaera","Taibaiella","Achromobacter","Leadbetterella","Bordetella","Shinella","Stenotrophomonas","Xylophilus","Methylophilus","Pleomorphomonas","Nubsella","Devosia","Bosea","Parapedobacter","Youhaiella","Dysgonomonas","Rhodopseudomonas","Azonexus","Pigmentiphaga","Pseudaminobacter","Kaistia","Neorhizobium","Dokdonella","Sphingopyxis","Afipia","Cellulomonas","Herbaspirillum","Mesorhizobium","Phenylobacterium","Microbacterium","Kurthia","Flavobacterium","Candidatus Megaira","Pusillimonas","Saccharofermentans","Nocardioides","Megasphaera","Sporosarcina","Terrisporobacter","Anaerovorax","Terrimonas","Ellin6055","Fibrobacter","Christensenellaceae R-7 group","NK4A214 group","Chishuiella","Acinetobacter","Lachnospiraceae XPB1014 group","Lachnospiraceae UCG-008","Succiniclasticum","Rikenellaceae RC9 gut group","Enterococcus","Succinivibrionaceae UCG-001","Latilactobacillus","Rhodococcus"
"3C_E_7",0,0.0541125541125541,0.449945887445887,0.148268398268398,0.13771645021645,0.00324675324675325,0,0,0.0311147186147186,0,0.00892857142857143,0.00487012987012987,0.0403138528138528,0,0.0194805194805195,0,0,0,0,0.00135281385281385,0.00297619047619048,0.00108225108225108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108225108225108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3G_B_7",0.816130851663847,0.00131603684903177,0.00244406843391615,0.163564579808235,0,0,0,0.00150404211317917,0,0.00244406843391615,0,0.00695619477345366,0,0,0,0.00244406843391615,0,0,0,0,0,0,0,0,0.00319608949050573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3G_C_7",0.747834456207892,0,0.00288739172281039,0.227141482194418,0,0,0,0.00433108758421559,0,0,0,0.0105871029836381,0,0,0,0.00240615976900866,0,0.00192492781520693,0,0,0,0,0,0,0.00288739172281039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3G_D_7",0.777588592103863,0.000957752474193892,0,0.206874534425881,0,0,0,0.00223475577311908,0,0,0,0.00510801319570076,0,0,0,0.00446951154623816,0,0.000851335532616793,0,0,0,0,0,0,0.00191550494838778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_A_1",0.00895140664961637,0.0485933503836317,0.545716112531969,0.00767263427109974,0.0195012787723785,0.271099744245524,0.0105498721227621,0,0.0195012787723785,0,0.0121483375959079,0,0.0425191815856778,0.00223785166240409,0.0028772378516624,0,0.00191815856777494,0.00223785166240409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_A_2",0.00473427000610874,0.032376298106292,0.653023824068418,0,0.0155772755039707,0.229077580940745,0.0123701893708002,0.000458155161881491,0.0206169822846671,0,0.008094074526573,0,0.0154245571166768,0.00198533903481979,0.000763591936469151,0,0.000763591936469151,0.000458155161881491,0,0,0,0,0,0.000763591936469151,0,0.00137446548564447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_A_3",0,0.0234192037470726,0.664064532916992,0.00208170699973979,0.0145719489981785,0.27088212334114,0.00572469424928441,0,0.0130106687483737,0,0.00130106687483737,0,0.00338277387457715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_A_4",0.00236000858184939,0.0212400772366445,0.658442394335979,0,0.0186655224200815,0.236215404419652,0.0180218837159408,0,0.0218837159407852,0,0.0055782021025531,0,0.0118000429092469,0,0,0,0,0,0,0.00214546234713581,0,0,0,0,0,0,0,0.000643638704140742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_A_5",0.00593031875463306,0.0155670867309118,0.59006671608599,0.00271806276254015,0.0259451445515196,0.275265628860885,0.0328638497652582,0,0.0244625648628614,0,0.00543612552508031,0,0.0140845070422535,0.000741289844329133,0,0,0,0,0,0.00098838645910551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_A_6",0.00695349847892221,0.0182529335071708,0.844415471534116,0,0.00999565406345067,0.0617122990004346,0.040851803563668,0,0.00738809213385485,0,0.00564971751412429,0,0,0,0,0,0,0,0,0.00130378096479791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
